"","Ags","BC","BCS","Cam","Coah","Col","Chis","Chi","DF","Dgo","Gto","Gro","Hgo","Jal","Mex","Mich","Mor","Nay","NL","Oax","Pue","Qro","QRoo","SLP","Sin","Son","Tab","Tam","Tlax","Ver","Yuc","Zac"
"Ags",0,0,0,0,1,0,1,0,17,0,14,0,1,16,8,1,0,0,1,1,1,4,1,4,1,2,1,0,0,1,0,6
"BC",0,0,2,0,0,0,0,0,6,0,1,5,0,1,2,3,0,1,0,5,0,0,0,0,0,8,0,0,0,0,0,0
"BCS",0,1,0,0,0,0,0,0,9,0,0,0,1,2,3,0,1,0,1,0,0,1,1,0,2,2,1,0,0,1,0,1
"Cam",1,0,0,0,0,0,4,0,12,0,0,0,0,1,5,0,0,0,1,0,1,0,7,0,0,0,18,1,0,4,47,0
"Coah",2,0,0,1,0,0,0,4,17,34,3,1,2,1,3,1,2,0,46,1,2,1,2,2,2,0,1,5,1,1,0,2
"Col",1,0,0,0,0,0,0,0,6,0,1,0,0,21,4,2,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1
"Chis",0,0,0,2,0,0,0,0,18,0,0,0,0,1,5,1,0,0,4,9,6,0,3,0,0,0,25,0,0,8,3,0
"Chi",1,1,0,0,2,1,1,0,5,1,1,0,2,1,2,0,0,0,4,0,1,0,1,1,1,2,0,0,0,1,1,2
"DF",12,9,8,5,16,7,22,14,0,10,54,95,106,90,0,27,230,8,66,34,106,123,57,14,18,14,26,21,14,74,26,8
"Dgo",2,0,0,1,16,0,0,0,8,0,1,0,0,1,1,0,0,0,2,0,0,0,0,1,3,0,0,0,0,0,0,1
"Gto",8,3,0,1,3,3,0,0,42,0,0,2,12,27,31,10,1,1,6,1,5,49,3,10,1,0,2,5,1,4,1,3
"Gro",0,1,0,0,0,0,1,0,44,0,2,0,0,1,14,6,25,0,0,2,5,3,0,1,0,0,1,0,0,2,0,0
"Hgo",0,0,0,1,0,0,0,0,68,0,9,2,0,2,49,0,1,0,1,0,18,15,1,2,0,1,0,2,5,9,1,1
"Jal",12,5,4,3,6,13,3,2,86,3,27,4,8,0,31,23,3,44,17,3,13,16,5,6,18,7,4,3,1,9,4,8
"Mex",3,1,2,1,0,1,2,1,0,0,13,23,58,9,0,12,35,0,5,5,22,47,6,7,2,0,4,2,2,17,4,0
"Mich",0,1,0,0,0,1,0,0,23,0,11,4,1,15,17,0,0,0,1,0,2,4,0,1,0,0,0,0,1,1,1,0
"Mor",0,0,0,0,0,0,0,0,68,0,1,7,2,3,18,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0
"Nay",0,0,0,0,0,1,0,1,4,0,1,0,0,24,3,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0
"NL",2,2,0,0,47,0,2,0,55,2,8,4,0,8,12,2,1,1,0,0,7,8,14,19,2,0,8,51,0,10,2,3
"Oax",0,0,0,0,1,0,5,1,28,0,2,1,1,1,7,0,3,0,1,0,14,1,1,0,0,1,1,0,2,9,0,0
"Pue",2,1,0,0,1,0,2,2,95,1,4,8,9,8,41,3,19,0,2,12,0,7,1,4,0,2,14,0,43,46,2,0
"Qro",3,0,0,0,2,0,0,0,46,0,55,6,19,7,37,6,3,1,3,0,3,0,2,13,0,0,0,1,1,2,3,2
"QRoo",0,0,0,7,1,1,2,0,90,1,5,4,2,5,23,0,3,0,18,1,8,4,0,0,0,0,6,3,0,7,52,0
"SLP",2,0,1,0,2,0,0,0,13,1,8,2,7,8,5,1,0,0,2,0,0,9,0,0,0,1,0,1,0,2,0,2
"Sin",0,0,1,0,1,0,0,0,16,1,4,0,0,23,2,1,2,4,3,0,1,0,1,1,0,19,0,0,0,1,0,0
"Son",0,11,2,0,0,1,0,3,13,1,2,0,0,7,1,0,0,1,5,0,0,0,3,0,13,0,0,0,0,1,0,0
"Tab",0,0,0,18,0,1,52,0,31,0,0,0,1,1,11,0,3,0,5,1,9,0,13,0,0,0,0,2,0,30,8,0
"Tam",0,0,0,1,3,0,1,0,21,0,3,1,1,1,9,0,1,0,32,0,5,4,1,14,0,1,2,0,0,38,0,0
"Tlax",0,0,0,0,0,0,1,0,11,0,0,0,1,0,4,0,0,0,0,0,43,0,3,0,0,0,0,0,0,3,1,0
"Ver",1,0,0,5,0,0,6,0,53,0,3,1,10,4,18,0,2,0,5,12,63,8,13,4,1,0,20,18,7,0,4,0
"Yuc",1,0,0,32,1,0,5,1,29,0,1,0,1,2,7,0,1,1,3,0,1,2,58,2,0,0,21,0,0,2,0,0
"Zac",16,1,0,0,3,0,1,1,3,0,4,0,0,7,3,0,0,0,4,0,1,2,0,4,1,1,0,1,0,0,0,0
