Estado,Total salientes,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
Aguascalientes,52,0,0,3,0,1,0,0,0,16,0,3,0,0,9,3,1,0,1,4,0,0,0,2,3,1,0,0,1,0,0,0,4
Baja California,121,1,0,4,0,0,2,0,1,31,0,1,1,1,12,2,3,2,3,13,0,0,1,2,0,14,21,1,1,0,2,2,0
Baja California Sur,81,0,2,0,0,0,0,0,0,25,1,2,0,1,10,9,0,2,0,5,0,5,0,1,1,8,2,0,1,0,3,2,1
Campeche,101,0,1,0,0,1,1,3,0,21,0,0,0,0,4,2,0,0,0,0,0,5,1,7,0,0,1,20,2,0,4,28,0
Coahuila de Zaragoza,125,0,0,1,2,0,1,4,4,14,10,3,1,0,5,3,2,0,0,52,1,2,3,3,1,3,1,1,2,0,2,2,2
Colima,53,0,0,0,0,1,0,0,1,8,0,0,1,1,22,4,1,1,1,1,0,0,1,1,1,1,1,1,0,1,4,0,0
Chiapas,187,1,0,0,4,0,1,0,1,49,0,3,1,1,7,11,1,3,0,11,6,21,5,10,2,0,0,24,3,0,13,9,0
Chihuahua,62,0,1,0,0,2,0,1,0,18,1,5,1,0,6,3,0,1,0,7,0,2,2,3,1,2,0,1,1,0,3,0,1
Distrito Federal,1609,12,8,21,10,20,8,38,15,0,6,45,37,52,130,554,22,40,4,74,22,93,47,88,16,27,28,29,35,9,63,41,15
Durango,47,0,0,0,0,19,0,0,4,5,0,0,0,0,2,0,0,1,0,4,1,1,1,0,1,5,1,0,0,0,0,1,1
Guanajuato,264,5,1,2,2,2,2,1,3,87,2,0,2,4,32,16,8,2,2,6,2,5,28,4,10,7,4,2,4,2,9,1,7
Guerrero,317,0,0,3,2,0,1,2,0,184,0,12,0,2,10,31,11,11,0,4,0,20,9,1,1,3,1,1,3,0,5,0,0
Hidalgo,160,1,0,0,1,1,0,4,0,67,1,2,2,0,7,25,1,0,2,3,0,13,13,5,1,2,1,2,1,0,5,0,0
Jalisco,420,10,1,8,0,16,8,5,3,108,4,27,6,5,0,22,13,3,14,33,3,7,11,21,9,30,16,7,6,0,9,5,10
México,929,1,2,6,3,2,3,4,1,737,1,11,12,17,23,0,4,5,1,10,2,7,16,20,4,3,2,4,3,1,14,8,2
Michoacán de Ocampo,105,1,2,0,0,1,2,0,2,34,0,7,4,2,15,14,0,0,0,2,0,6,3,2,1,3,0,1,0,0,3,0,0
Morelos,198,0,0,1,1,1,0,1,0,128,0,2,8,1,1,23,0,0,0,2,2,8,2,3,3,0,0,3,2,0,1,4,1
Nayarit,65,0,0,0,0,1,0,1,0,15,1,7,0,0,19,0,0,0,0,3,0,2,3,1,1,3,2,2,0,0,2,0,2
Nuevo León,282,3,4,5,1,29,2,4,4,72,3,12,2,3,19,13,1,0,1,0,2,4,8,26,7,8,4,1,28,0,8,2,6
Oaxaca,200,1,0,0,0,2,0,9,0,89,1,5,3,1,7,17,0,1,0,7,0,24,3,2,1,4,0,0,1,1,18,3,0
Puebla,259,1,0,1,3,2,3,9,0,83,1,7,4,7,6,13,1,5,1,7,10,0,0,7,6,1,2,13,2,20,39,5,0
Querétaro,174,2,0,0,0,3,2,0,1,67,2,30,0,5,9,20,4,1,0,2,2,2,0,4,4,1,1,1,3,1,4,3,0
Quintana Roo,572,1,2,0,17,12,1,9,5,140,1,7,4,4,13,29,2,5,1,69,0,22,8,0,2,4,8,53,4,0,42,104,3
San Luis Potosí,76,3,0,0,0,3,0,0,0,23,0,2,1,2,4,5,1,0,1,9,0,3,8,2,0,0,0,0,5,0,2,0,2
Sinaloa,127,1,3,2,0,5,0,0,4,27,7,3,0,3,19,3,0,3,1,15,1,0,3,1,3,0,18,2,2,0,0,1,0
Sonora,82,0,6,0,0,3,1,2,5,18,1,0,0,1,13,2,0,0,0,6,0,1,1,1,2,16,0,0,1,0,1,1,0
Tabasco,131,0,0,0,13,1,1,16,0,34,0,3,0,0,5,4,0,1,0,3,2,10,0,6,0,0,1,0,1,0,16,14,0
Tamaulipas,138,2,1,2,0,5,1,0,0,30,0,9,1,3,3,3,1,0,0,42,0,3,6,2,6,1,1,1,0,0,14,1,0
Tlaxcala,49,1,0,0,0,0,1,0,0,14,0,0,0,0,2,1,0,0,0,0,0,26,0,0,1,0,0,0,0,0,3,0,0
Veracruz de Ignacio de la Llave,369,1,2,3,7,2,1,10,1,113,0,4,5,4,9,22,4,1,0,14,9,54,6,12,5,4,1,39,18,5,0,12,1
Yucatán,176,0,0,0,16,1,0,9,0,46,0,0,2,0,5,9,2,2,0,1,0,7,5,37,0,1,0,26,1,0,6,0,0
Zacatecas,42,11,0,1,0,1,0,0,0,11,1,2,0,0,2,3,0,0,0,2,0,1,2,0,0,1,1,0,0,0,3,0,0
,Total entrantes,59,36,63,82,137,42,132,55,2314,44,214,98,120,430,866,83,90,33,411,65,354,196,274,93,153,118,235,131,40,298,249,58
